agente,f_desde,f_hasta,zona,produccion,cartera,canal
1,15/04/10,05/05/10,Norte,0,0,PropiaParticulares
2,14/04/09,05/05/10,Norte,0,0,PropiaParticulares
3,19/03/10,05/05/10,Norte,0,0,PropiaParticulares
4,15/04/10,05/05/10,Norte,0,0,PropiaParticulares
5,07/04/10,05/05/10,Norte,0,0,PropiaParticulares
6,09/02/10,05/05/10,Norte,0,0,PropiaParticulares
7,15/01/10,05/05/10,Centro,0,0,PropiaParticulares
8,12/01/10,05/05/10,Centro,0,0,PropiaParticulares
9,13/01/10,05/05/10,Centro,0,0,PropiaParticulares
10,31/03/10,05/05/10,Centro,0,0,PropiaParticulares
11,30/03/10,05/05/10,Centro,0,0,PropiaParticulares
12,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
13,18/02/10,05/05/10,Centro,0,0,PropiaParticulares
14,18/02/10,05/05/10,Centro,0,0,PropiaParticulares
15,24/02/10,05/05/10,Centro,0,0,PropiaParticulares
16,10/03/10,05/05/10,Centro,0,0,PropiaParticulares
17,17/03/10,05/05/10,Centro,0,0,PropiaParticulares
18,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
19,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
20,01/02/10,05/05/10,Centro,0,0,PropiaParticulares
21,24/02/10,05/05/10,Centro,0,0,PropiaParticulares
22,01/03/10,05/05/10,Centro,0,0,PropiaParticulares
23,31/03/10,05/05/10,Centro,0,0,PropiaParticulares
24,08/04/10,05/05/10,Centro,0,0,PropiaParticulares
25,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
26,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
27,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
28,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
29,21/04/10,05/05/10,Centro,0,0,PropiaParticulares
30,22/01/10,05/05/10,Centro,0,0,PropiaParticulares
31,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
32,18/02/10,05/05/10,Centro,0,0,PropiaParticulares
33,12/03/10,05/05/10,Centro,0,0,PropiaParticulares
34,21/04/10,05/05/10,Centro,0,0,PropiaParticulares
35,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
36,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
37,15/04/10,05/05/10,Centro,0,0,PropiaParticulares
